epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.89676,1.67287,3.83307,1.31291,0.00495,0.01923,0.00257,0.00206,1.77705,3.83941,1.36306,0,0,0
2,7.36986,1.89148,3.89687,1.32795,0.0049,0.01923,0.00255,0.00204,1.75745,3.83581,1.34813,1.50197e-05,1.50197e-05,1.50197e-05
3,8.75443,1.75342,3.86867,1.18694,0.00481,0.01923,0.0025,0.002,1.72548,3.83852,1.32368,2.67387e-05,2.67387e-05,2.67387e-05
4,10.0409,1.80203,3.84199,1.32035,0.00962,0.03846,0.00519,0.00308,1.71442,3.82145,1.29263,3.5157e-05,3.5157e-05,3.5157e-05
5,11.4374,1.71718,3.79587,1.19834,0.00909,0.03846,0.0049,0.00392,1.70295,3.81376,1.27667,4.02747e-05,4.02747e-05,4.02747e-05
6,12.8364,1.79955,3.7873,1.26666,0.01117,0.07692,0.00613,0.00355,1.68954,3.79617,1.25867,4.20917e-05,4.20917e-05,4.20917e-05
7,14.2563,1.52816,3.68739,1.24444,0.01111,0.07692,0.00613,0.00422,1.69112,3.78687,1.25456,4.06081e-05,4.06081e-05,4.06081e-05
8,15.6892,1.73553,3.75062,1.19773,0.01778,0.13462,0.01034,0.00555,1.68567,3.77512,1.24276,3.58238e-05,3.58238e-05,3.58238e-05
9,17.1061,1.82809,3.73735,1.14337,0.03004,0.19231,0.01848,0.0098,1.69036,3.77156,1.24216,2.77389e-05,2.77389e-05,2.77389e-05
10,18.4903,1.56291,3.57576,1.24062,0.03298,0.21154,0.02123,0.01199,1.69423,3.77261,1.24446,1.63533e-05,1.63533e-05,1.63533e-05
