epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0119,1.6666,3.80776,1.29473,0.00495,0.01923,0.00257,0.00206,1.77765,3.83644,1.36032,0,0,0
2,17.1843,1.66718,3.80576,1.29623,0.00495,0.01923,0.00257,0.00206,1.75904,3.83654,1.35331,1.6505e-05,1.6505e-05,1.6505e-05
3,20.1907,1.8625,3.90899,1.45875,0.00495,0.01923,0.00258,0.00206,1.72313,3.84338,1.32917,3.26799e-05,3.26799e-05,3.26799e-05
4,23.2485,1.78432,3.80507,1.36673,0.0101,0.03846,0.00547,0.00296,1.71071,3.83039,1.31172,4.85247e-05,4.85247e-05,4.85247e-05
5,27.2638,1.90276,3.86551,1.25541,0.0101,0.03846,0.00547,0.00296,1.71071,3.83039,1.31172,6.40395e-05,6.40395e-05,6.40395e-05
6,31.3858,1.87845,3.80505,1.326,0.01389,0.05769,0.00789,0.00457,1.67363,3.8258,1.2883,7.92242e-05,7.92242e-05,7.92242e-05
7,34.8449,1.85166,3.68211,1.4733,0.01389,0.05769,0.00789,0.00457,1.67363,3.8258,1.2883,9.40788e-05,9.40788e-05,9.40788e-05
8,40.7174,1.64636,3.67717,1.25112,0.01519,0.09615,0.00858,0.00571,1.64766,3.79782,1.23221,0.000108603,0.000108603,0.000108603
9,44.0741,1.70752,3.47207,1.35373,0.01519,0.09615,0.00858,0.00571,1.64766,3.79782,1.23221,0.000122798,0.000122798,0.000122798
10,47.4641,1.61473,3.64179,1.22957,0.04097,0.25,0.02738,0.0152,1.67416,3.77018,1.22922,0.000136662,0.000136662,0.000136662
11,49.9605,1.70854,3.52508,1.21192,0.04097,0.25,0.02738,0.0152,1.67416,3.77018,1.22922,0.000150197,0.000150197,0.000150197
12,52.3298,1.74323,3.53117,1.39024,0.04097,0.25,0.02738,0.0152,1.67416,3.77018,1.22922,0.000163401,0.000163401,0.000163401
13,55.3292,1.5884,3.60539,1.13744,0.05502,0.34615,0.04151,0.02089,1.6417,3.71328,1.20892,0.000176275,0.000176275,0.000176275
14,58.3938,1.61127,3.45296,1.15446,0.05502,0.34615,0.04151,0.02089,1.6417,3.71328,1.20892,0.000188819,0.000188819,0.000188819
15,61.4875,1.75147,3.55276,1.18029,0.05502,0.34615,0.04151,0.02089,1.6417,3.71328,1.20892,0.000201034,0.000201034,0.000201034
16,64.4969,1.7052,3.45914,1.11144,0.06174,0.40385,0.05564,0.02583,1.69869,3.65121,1.21831,0.000212918,0.000212918,0.000212918
17,67.022,1.61835,3.27096,1.13941,0.06174,0.40385,0.05564,0.02583,1.69869,3.65121,1.21831,0.000224472,0.000224472,0.000224472
